ship,nid,date1,date2,days,lat1,lon1,lat2,lon2,dist_km,dlon
HAAY,,1851-06-19,1851-08-04,46,-23.38,-42.41,-23.53,103.94,13676.002982280948,146.35
WILHELMINA,,1820-04-04,1820-06-05,62,-23.53,-21.82,-23.55,112.58,12847.667499330675,134.4
BOREAS,,1848-11-30,1849-02-06,68,-23.38,-40.72,-23.42,91.9,12735.658991526148,132.62
UNKNOWN-06,,1848-01-25,1848-03-21,56,-23.55,-29.07,-23.45,103.28,12700.344534354343,132.35
AJAX,,1818-12-21,1819-03-07,76,-23.5,-43.0,-23.52,89.28,12693.55636629154,132.28
NEHALENNIA,,1846-09-06,1846-11-13,68,-23.57,-42.3,-23.47,87.58,12508.098728837213,129.88
WARLEY,,1815-05-19,1815-07-06,48,-23.33,-23.52,-23.32,96.08,11699.374850798837,119.6
MARQUIS OF LANSDOWNE,,1790-06-05,1790-07-18,43,-23.45,-10.7,-23.38,107.87,11600.975481108495,118.57000000000001
AREND,,1825-10-01,1825-11-28,58,-23.35,-25.57,-23.6,92.48,11549.42273928666,118.05000000000001
BELLONA,,1795-08-28,1795-10-14,47,-23.37,-23.55,-23.58,92.77,11401.506725184949,116.32
BATAVIA,,1837-12-20,1838-01-31,42,-23.42,85.78,-23.5,3.2,8298.043702539579,-82.58
WALVISCH,,1849-02-10,1849-03-23,41,-23.33,85.0,-23.4,3.18,8231.554337116911,-81.82
MENTOR,,1854-02-26,1854-04-02,35,-23.3,82.0,-23.38,2.97,7962.842324601723,-79.03
UNKNOWN-01,,1846-12-15,1847-01-21,37,-23.32,77.3,-23.38,2.92,7508.499665221255,-74.38
MARGARETHA SIMONETTE,,1849-03-06,1849-04-10,35,-23.37,75.08,-23.3,0.73,7506.519716101682,-74.35
MERAPI,,1848-11-06,1849-01-02,57,-23.5,76.03,-23.43,4.57,7214.964314234992,-71.46000000000001
INGLIS,,1815-03-01,1815-05-01,61,-23.52,-29.42,-23.43,41.82,7192.748277407633,71.24000000000001
AMPHITRITE,,1854-02-17,1854-03-27,38,-23.6,75.28,-23.4,4.97,7099.858935430352,-70.31
MARGARETHA SIMONETTE,,1848-03-10,1848-04-16,37,-23.48,74.97,-23.53,4.98,7068.060979561846,-69.99
AZIA,,1853-04-04,1853-05-09,35,-23.38,72.27,-23.4,2.45,7058.154489062749,-69.82
AURORA,,1836-11-03,1836-12-10,37,-23.6,67.25,-23.57,-1.82,6972.804049817585,-69.07
GLATTON,,1778-03-29,1778-05-27,59,-23.3,-28.48,-23.33,40.38,6967.8839590856805,68.86
ANTHONY,,1831-03-28,1831-05-22,55,-23.48,75.85,-23.32,8.22,6841.558971057057,-67.63
AMICITIA,,1849-11-12,1849-12-15,33,-23.33,66.67,-23.58,1.15,6629.875548049978,-65.52
GEORGE IV,,1829-02-18,1829-03-15,25,-23.57,66.45,-23.35,2.0,6523.623531412116,-64.45
TWEE CORNELISSEN,,1836-04-15,1836-05-18,33,-23.35,66.22,-23.57,1.78,6522.6325750313545,-64.44
TERNATE,,1845-01-23,1845-02-19,27,-23.52,67.53,-23.38,3.25,6507.29011486951,-64.28
HENRIETTE CLASINA,,1835-12-22,1836-01-22,31,-23.45,72.37,-23.42,8.32,6485.275985975144,-64.05000000000001
MEDWAY,,1765-02-26,1765-05-10,73,-23.33,70.78,-23.5,7.39,6420.882042440875,-63.39
ELISABETH,,1838-07-23,1838-09-06,45,-23.5,65.27,-23.48,1.92,6412.924426658233,-63.349999999999994
HELDIN,,1836-03-03,1836-04-02,30,-23.35,66.87,-23.6,3.65,6400.871810019754,-63.220000000000006
EUROPA,,1853-09-15,1853-10-24,39,-23.55,65.33,-23.57,2.15,6392.3624512023125,-63.18
OLIVIER VAN NOORD,,1851-11-26,1851-12-30,34,-23.37,65.52,-23.58,2.87,6344.284448728463,-62.65
JAVAAN,,1826-04-26,1826-06-14,49,-23.35,66.5,-23.52,4.43,6288.735299303085,-62.07
ROTTERDAM,,1843-05-14,1843-06-20,37,-23.6,67.8,-23.46,5.82,6274.882441273204,-61.98
TWEE CORNELISSEN,,1844-05-10,1844-07-01,52,-23.47,62.97,-23.3,1.67,6214.719199486434,-61.3
WARREN HASTINGS,,1824-02-16,1824-03-22,35,-23.45,66.17,-23.47,5.65,6133.289627075691,-60.52
ARGO,,1843-11-10,1843-12-14,34,-23.5,63.59,-23.58,3.37,6099.4401717463725,-60.220000000000006
MARIA REIGERSBERGEN,,1826-06-22,1826-07-30,38,-23.53,63.56,-23.37,3.73,6065.113532455993,-59.830000000000005
WALVISCH,,1850-11-18,1850-12-14,26,-23.37,63.38,-23.5,3.7,6050.904351345772,-59.68
AZIA,,1854-05-21,1854-06-20,30,-23.45,65.25,-23.33,5.62,6048.134536695,-59.63
TIGRIS,,1810-12-17,1811-01-21,35,-23.33,62.77,-23.47,3.67,5994.810293440013,-59.1
PERSEVERENCE,,1805-05-12,1805-06-23,42,-23.4,60.72,-23.3,2.5,5909.401230590144,-58.22
ALFRED,,1797-11-03,1797-12-26,53,-23.35,61.83,-23.42,5.25,5743.894968570373,-56.58
VALENTINE,,1778-12-08,1779-01-30,53,-23.43,61.8,-23.38,5.38,5726.972787589991,-56.419999999999995
EARL SPENCER,,1807-09-08,1807-10-19,41,-23.4,60.6,-23.5,4.5,5692.919042692984,-56.1
EL SEPTENTRIÓN,,1772-01-30,1772-04-04,65,-23.35,-87.61,-23.58,-32.02,5641.289267821089,55.589999999999996
ROYAL CHARLOTTE,,1791-03-16,1791-04-23,38,-23.45,61.57,-23.4,6.25,5616.049850264974,-55.32
BALEINE,,1764-04-04,1764-05-08,34,-23.38,63.83,-23.55,8.69,5596.2628797209145,-55.14
PRINS VAN ORANJE,,1849-08-30,1849-09-28,29,-23.53,58.85,-23.57,3.77,5586.398872402201,-55.08
WALVISCH,,1853-07-07,1853-08-06,30,-23.5,59.62,-23.48,4.73,5570.102925011772,-54.89
ENDEAVOUR,,1771-02-17,1771-04-25,67,-23.33,62.7,-23.47,8.13,5542.118177361966,-54.57
LANCASTER,,1806-05-15,1806-06-25,41,-23.53,60.82,-23.6,7.73,5386.670012013594,-53.09
ANTHONY,,1832-12-18,1833-01-16,29,-23.33,56.76,-23.32,4.83,5280.5942030886945,-51.93
CATHARINA,,1839-05-07,1839-06-13,37,-23.5,56.95,-23.55,5.05,5269.166532883628,-51.900000000000006
DUKE OF DORSET,,1752-05-03,1752-06-15,43,-23.3,58.33,-23.43,7.69,5149.36614038618,-50.64
CLIVE,,1766-06-04,1766-07-15,41,-23.52,55.55,-23.32,6.16,5021.531792236294,-49.39
NIEUW LEKKERLAND,,1845-07-24,1845-10-07,75,-23.38,105.58,-23.53,59.98,4638.685979169904,-45.6
BUITENZORG,,1849-07-31,1849-10-21,82,-23.57,102.12,-23.32,62.75,4010.014327073177,-39.370000000000005
WILLEM,,1846-05-24,1846-08-15,83,-23.58,102.18,-23.3,63.53,3937.3409431810383,-38.650000000000006
SPHYNX,,1795-06-30,1795-09-17,79,-23.53,6.32,-23.37,-31.18,3820.544471398051,-37.5
MARLBOROUGH,,1750-07-28,1750-10-14,78,-23.5,41.73,-23.45,5.01,3740.7856179983396,-36.72
CATHARINA JOHANNA,,1843-09-30,1843-12-17,78,-23.58,101.8,-23.4,67.23,3522.5629301679346,-34.56999999999999
PROTHEE,,1780-08-20,1780-09-12,23,-23.58,-33.53,-23.58,-0.35,3379.201890041365,33.18
SUSANNA,,1838-03-02,1838-05-17,76,-23.6,96.4,-23.53,66.0,3097.6151942441147,-30.400000000000006
ANTHONY,,1836-09-24,1836-12-13,80,-23.6,99.45,-23.5,70.87,2913.1780728782164,-28.58
TWEE CORNELISSEN,,1836-01-21,1836-04-15,85,-23.48,92.58,-23.35,66.22,2690.380339344286,-26.36
SPHYNX,,1795-09-17,1795-11-05,49,-23.37,-31.18,-23.4,-5.78,2593.225611634139,25.4
YORK,,1774-03-07,1774-04-04,28,-23.55,-19.28,-23.3,1.2,2091.431402423845,20.48
TILBURY,,1768-04-05,1768-06-17,73,-23.5,-28.25,-23.4,-10.45,1817.6614864161531,17.8
STAR,,1800-09-27,1800-10-12,15,-23.5,-17.57,-23.58,-33.43,1618.6615062333847,-15.86
TWEED,,1824-12-28,1825-01-11,14,-23.6,-40.5,-23.37,-24.95,1587.8965278507949,15.55
SPHYNX,,1798-10-09,1798-12-01,53,-23.4,4.25,-23.58,-10.25,1480.6587022941646,-14.5
POLLUX,,1827-04-23,1827-06-27,65,-23.59,72.46,-23.59,58.91,1382.550802510659,-13.549999999999997
NISUS,,1811-10-12,1811-11-26,45,-23.47,70.38,-23.3,57.15,1352.1507324205272,-13.229999999999997
THAMES,,1804-05-01,1804-07-08,68,-23.3,-21.03,-23.33,-7.82,1350.6929014464715,13.21
LANCASTER,,1800-08-07,1800-10-26,80,-23.57,61.83,-23.37,49.15,1295.2087037967633,-12.68
NISUS,,1811-10-06,1811-10-12,6,-23.38,80.35,-23.47,70.38,1018.766512905352,-9.969999999999999
ADAMANT,,1798-12-19,1799-01-20,32,-23.43,-0.91,-23.47,-10.0,928.6679262520178,-9.09
RATTLESNAKE,,1800-08-07,1800-10-26,80,-23.53,58.3,-23.3,50.03,845.5140767283273,-8.269999999999996
CHRISTIAAN HUIJGENS,,1843-01-15,1843-01-16,1,-23.32,81.85,-23.45,77.87,407.1149145942116,-3.9799999999999898
STAR,,1800-09-26,1800-09-27,1,-23.6,-14.0,-23.5,-17.57,364.6645058299858,-3.5700000000000003
TWEE CORNELISSEN,,1844-05-08,1844-05-10,2,-23.3,66.52,-23.47,62.97,363.3933086493248,-3.549999999999997
EL PIZARRO,,1789-05-09,1789-05-12,3,-23.53,-29.62,-23.32,-26.17,353.3432274264775,3.4499999999999993
DOVER CASTLE,,1804-07-10,1804-07-12,2,-23.48,-30.78,-23.53,-27.63,321.7733096205901,3.150000000000002
JAVAAN,,1840-02-27,1840-02-28,1,-23.47,73.32,-23.58,70.3,308.6424690261392,-3.019999999999996
JAVAAN,,1840-02-26,1840-02-27,1,-23.52,76.28,-23.47,73.32,302.3942169066365,-2.960000000000008
DOVER CASTLE,,1804-07-12,1804-07-13,1,-23.53,-27.63,-23.4,-24.97,272.14401302046207,2.66
HENRIETTE CLASINA,,1839-09-30,1839-10-01,1,-23.32,64.85,-23.52,62.28,263.58929237219,-2.569999999999993
JUPITER,,1799-07-31,1799-08-04,4,-23.58,41.15,-23.57,38.87,232.7497369963293,-2.280000000000001
ECHO,,1802-05-18,1802-05-19,1,-23.57,97.0,-23.47,98.94,198.43145483206632,1.9399999999999977
ANTHONY,,1836-12-13,1836-12-14,1,-23.5,70.87,-23.5,68.93,198.15210280985525,-1.9399999999999977
MEERMIN,,1839-05-01,1839-05-02,1,-23.52,-42.35,-23.42,-40.53,186.26700750077234,1.8200000000000003
WILLEM,,1846-08-15,1846-08-16,1,-23.3,63.53,-23.4,61.73,184.39300379356132,-1.8000000000000043
WALPOLE,,1784-04-22,1784-04-23,1,-23.5,60.68,-23.6,58.98,173.92610502617384,-1.7000000000000028
BELLONA,,1842-04-06,1842-04-07,1,-23.3,75.48,-23.3,73.78,173.89976759062392,-1.7000000000000028
JUPITER,,1799-08-04,1799-08-06,2,-23.57,38.87,-23.48,37.17,173.89185419086755,-1.6999999999999957
NIMPH,,1811-04-06,1811-04-07,1,-23.32,110.0,-23.35,111.63,166.72871902561658,1.6299999999999955
LA PRINCESA,,1773-10-27,1773-10-28,1,-23.6,-26.97,-23.38,-25.38,164.23295148021882,1.5899999999999999
PRINCIPE,,1773-05-25,1773-05-26,1,-23.5,-30.53,-23.6,-29.0,156.6080921591588,1.5300000000000011
AMPHITRITE,,1854-02-16,1854-02-17,1,-23.43,76.8,-23.6,75.28,156.37356725515278,-1.519999999999996
AMPHITRITE,,1854-02-15,1854-02-16,1,-23.43,78.33,-23.43,76.8,156.35748219004995,-1.5300000000000011
BOREAS,,1844-02-21,1844-03-08,16,-23.3,-41.25,-23.53,-42.65,145.3379117196669,-1.3999999999999986
INTREPID,,1798-07-03,1798-07-04,1,-23.33,-40.74,-23.42,-41.93,122.06945153383771,-1.1899999999999977
ROTTERDAM,,1843-05-11,1843-05-14,3,-23.45,68.87,-23.6,67.8,110.52560835171364,-1.0700000000000074
ADMIRAL POCOCK,,1771-02-08,1771-02-11,3,-23.45,36.51,-23.5,37.57,108.4311539928006,1.0600000000000023
ANNA,,1845-09-30,1845-10-01,1,-23.42,-39.1,-23.47,-38.07,105.39422598571682,1.0300000000000011
PERSEVERENCE,,1805-05-11,1805-05-12,1,-23.43,61.7,-23.4,60.72,100.21720540039207,-0.980000000000004
NEHALENNIA,,1846-09-03,1846-09-06,3,-23.35,-43.09,-23.57,-42.3,84.31288518069223,0.7900000000000063
JACOBA MAURINA,,1839-01-01,1839-02-26,56,-23.38,-41.97,-23.6,-42.7,78.44815917369466,-0.730000000000004
SUMATRA,,1830-02-17,1830-03-06,17,-23.32,-41.02,-23.33,-40.38,65.46559929143075,0.6400000000000006
BUEN CONSEJO,,1765-05-20,1765-05-21,1,-23.35,-41.37,-23.33,-42.0,64.46430809358333,-0.6300000000000026
YORK,,1781-06-18,1781-06-19,1,-23.52,5.1,-23.52,4.53,58.211561425298434,-0.5699999999999994
PERSEVERENCE,,1803-01-27,1803-01-28,1,-23.3,63.98,-23.47,63.48,54.47184159274473,-0.5
PRINCIPE,,1767-10-30,1767-10-31,1,-23.58,-34.87,-23.47,-34.37,52.49406124229245,0.5
